"English"	"OldOrcish"	"ProposedOrcish"
"chasm"	"ap16-20-chasm-e6a916"	"heku-gord"
"chat"	"freq100-chat-31e06f"	"brak-hrowgai"
"chateau"	"freq100-chateau-a6e5da"	"flow-hrowkash-hush"
"chatter"	"freq100-chatter-ec302e"	"hrog-burz-daki"
"chattering"	"freq100-chattering-9cb70c"	"fcd-grodui-biti"
"chatting"	"freq100-chatting-0d6264"	"akh-dorn-dugi"
"chatty"	"ap21-25-chatty-8bd8ec"	"eastdale-hekur-karnu"
"chauffeur"	"freq100-chauffeur-b2744d"	"ghash-dug-dokash"
"che"	"freq100-che-250fcc"	"bdci-bantin"
"cheap"	"freq100-cheap-c6f556"	"grodin-kaag"
"cheaper"	"freq100-cheaper-b0fa1b"	"gashuri-kar-brukin"
"cheat"	"freq100-cheat-3a1b45"	"brand-bibuk"
"cheated"	"freq100-cheated-57bd3b"	"dakuru-grrt-dargin"
"cheater"	"freq100-cheater-8dff22"	"ecd-kelnagak-cab"
"cheating"	"freq100-cheating-f3b643"	"hrowk-grodu-dcf"
"cheats"	"freq100-cheats-1eaa2b"	"bantash-gori-crossbow"
"check"	"ap2-khek-20f"	"bantin-kaat"
"check-in"	"ap31-36-check-in-a0823c"	"fletragi-exarchuk-dargu"
"checkbook"	"freq100-checkbook-ac203c"	"gashi-brak-dargu"
"checked"	"freq100-checked-e61a3d"	"heku-bibnakin-darguk"
"checking"	"ap2-khek-20f-in"	"dravkui-gakh-dokur"
"checkup"	"freq100-checkup-8c3878"	"ebb-cee-falstauk"
"cheek"	"freq100-cheek-3549b2"	"brakin-darg"
"cheeks"	"ap21-25-cheeks-e7adc8"	"hekui-goruk-helix"
"cheer"	"ap16-20-cheer-190513"	"ashuk-ash"
"cheerful"	"freq100-cheerful-a9e206"	"gakh-hrowk-bibi"
"cheering"	"ap21-25-cheering-1a1d67"	"ashur-biti-dwarfuk"
"cheerleader"	"freq100-cheerleader-2cc56f"	"bibuk-gur-ender-kelnib"
"cheerleaders"	"freq100-cheerleaders-f85010"	"hrowku-dbe-brakari-gashash"
"cheerleading"	"freq100-cheerleading-d1a93d"	"grukhur-gord-darguk-kwake"
"cheers"	"freq100-cheers-0f3b19"	"arandia-cromm-bruk"
"cheeseburger"	"freq100-cheeseburger-d4b458"	"gruuli-grodhi-dravi-fa"
"cheesecake"	"freq100-cheesecake-f357d0"	"hrowk-demetra-hrowgauk"
"cheesy"	"freq100-cheesy-435d91"	"burzuk-dok-gio"
"cheetah"	"freq100-cheetah-65ef5c"	"dcf-imlauk-dravku"
"chef"	"freq100-chef-f59ac0"	"hrowkai-gashash"
"chemical"	"ap26-30-chemical-6850ca"	"demetra-dbe-hrog"
"chemicals"	"ap26-30-chemicals-894f64"	"dwarfuk-dargur-dugi"
"chemistry"	"freq100-chemistry-de0152"	"heki-arcturus-dornuk"
"cheng"	"freq100-cheng-211c96"	"bantuk-bit"
"cheque"	"freq100-cheque-c752ae"	"grodu-dcbi-grukh"
"cher"	"freq100-cher-e6057f"	"heku-ash"
"cherish"	"freq100-cherish-70f317"	"doki-jorun-brakur"
"cherries"	"freq100-cherries-c6de72"	"grodin-hroguk-exie"
"cherry"	"freq100-cherry-2daf0e"	"bit-grak-bitu"
"cherubic"	"ap4-kherubik-b8f"	"gor-karnu-burdock"
"chess"	"freq100-chess-ac739d"	"gashi-drukhi"
"chest-piece"	"ap26-30-chest-piece-0be7a0"	"agh-hrowku-grimuk"
"chester"	"freq100-chester-a384e2"	"flit-exieuk-jorun"
"chests"	"ap31-36-chests-a06027"	"fletragi-doku-cee"
"cheung"	"freq100-cheung-ecce8e"	"hrog-hekin-gashuri"
"chevy"	"freq100-chevy-b94271"	"gorash-dakuk"
"chew"	"freq100-chew-82434e"	"drow-dakukash"
"chewed"	"shad-khew-824-ash"	"bibash-grrt-hekash"
"chewing"	"ap26-30-chewing-211771"	"bantuk-bibi-exarchuk"
"cheyenne"	"freq100-cheyenne-467430"	"cbd-dug-dakku"
"chi"	"freq100-chi-dffe60"	"hekin-keep"
"chic"	"freq100-chic-bd31be"	"goru-burzi"
"chicago"	"freq100-chicago-a2470c"	"flindi-dakuruk-biti"
"chick"	"freq100-chick-fce1e6"	"hush-hrowgauk"
"chicken"	"freq100-chicken-811eb8"	"dravur-bitin-hek"
"chickens"	"freq100-chickens-02c855"	"aba-gurmoguk-drath"
"chicks"	"freq100-chicks-2d120f"	"bit-bbc-brak"
"chiding"	"ap4-khid-77d-in"	"burz-hekfai-gruuluk"
"chiefs"	"freq100-chiefs-20eb2d"	"bantin-hush-dakash"
"chieftain"	"ap16-20-chieftain-54135a"	"dakukash-bdc-draviki"
"child"	"freq100-child-ddc9e6"	"hekfai-hek"
"childhood"	"freq100-childhood-f2d1ba"	"hrowgauk-hekmoguk-hekfa"
"childish"	"freq100-childish-74d4fb"	"dornuk-hekruhur-krag"
"children"	"ap26-30-children-109100"	"arandian-flindi-barrow"
"chili"	"freq100-chili-26b5f0"	"bib-grodin"
"chill"	"ap16-20-chill-9fe5e0"	"flat-hrowkash"
"chilled"	"ap16-20-chilled-8fbed2"	"elf-grrtuk-hrowka"
"chilling"	"ap31-36-chilling-eb83e8"	"here-exie-kangstuk"
"chiming"	"ap31-36-chiming-5221e4"	"dakku-brakari-kaag"
"chimney"	"ap31-36-chimney-4d8891"	"crossbow-falsta-gio"
"chimp"	"freq100-chimp-24bbcd"	"bdc-grotin"
"china"	"freq100-china-50c015"	"daki-grukhur"
"chinatown"	"freq100-chinatown-b3be28"	"gio-grrtuk-chesire"
"chinese"	"freq100-chinese-e2d3b4"	"hekmoguk-hekruhi-gur"
"ching"	"freq100-ching-8406dc"	"drukhi-ashdak"
"chino"	"freq100-chino-cd7e4d"	"grow-elf"
"chip"	"ap21-25-chip-d7cea7"	"gurmog-hekin"
"chipped"	"freq100-chipped-ad7af2"	"gashin-eastdale-khalash"
"chips"	"ap26-30-chips-d9705d"	"gurmoguk-dravur"
"chitin"	"ap26-30-chitin-0b9b1c"	"agh-gashi-bruku"
"chittering"	"ap26-30-chittering-63457c"	"dcbi-dakuri-fentrest"
"chloe"	"freq100-chloe-ec5c41"	"hrog-disaster"
"chlorine-ozone"	"ap16-20-chlorine-ozone-68a60c"	"demetra-gog-biti-dravin"
"cho"	"freq100-cho-560c48"	"dakuri-bant"
"chocolate"	"freq100-chocolate-7499ac"	"dornuk-gash-grrt"
"chocolates"	"freq100-chocolates-cf008d"	"grrtuk-archon-gashur"
"choir"	"freq100-choir-1be068"	"ata-hrowgai"
"choke"	"ap21-25-choke-f07d98"	"hrowga-efekt"
"choked"	"ap21-25-choked-cdebb5"	"grow-hush-gurmog"
"chokes"	"ap26-30-chokes-1ac71a"	"ashur-gurmogi-brukash"
"choking"	"freq100-choking-3ae334"	"brand-hrowka-dakuri"
"chooses"	"ap26-30-chooses-2d638c"	"bit-dornuk-gashu"
"choosing"	"ap31-36-choosing-be0907"	"goruk-ashur-bibnak"
"chop"	"freq100-chop-574432"	"dakuru-dakur"
"chopped"	"freq100-chopped-2cc0b4"	"bibuk-grukhur-gur"
"chopper"	"freq100-chopper-5f0365"	"darguk-ardenuk-dwarf"
"choppers"	"freq100-choppers-7bfd4b"	"dravik-karnu-disaster"
"chopping"	"freq100-chopping-e36724"	"hekruh-drav-cbd"
"chops"	"freq100-chops-c36e55"	"grod-dravkui"
"chord"	"ap21-25-chord-25735b"	"bdci-drukhi"
"chores"	"freq100-chores-c1a8a1"	"great-gorash-grod"
"chorus"	"freq100-chorus-ca6e99"	"grot-dravkui-gori"
"chosen"	"freq100-chosen-7be403"	"dravik-hrowkai-bdci"
"chow"	"freq100-chow-cf4fa7"	"grrtuk-dargur"
"christ"	"freq100-christ-6eccae"	"dok-hekfai-grukh"
"christian"	"freq100-christian-df59c2"	"hekin-depth-hekruhi"
"christians"	"freq100-christians-530f71"	"dakuk-bantin-exarchuk"
"christie"	"freq100-christie-ba2744"	"gord-brakuk-dedi"
"christine"	"freq100-christine-5e608d"	"dargu-doku-gashur"
"christmas"	"freq100-christmas-e718b2"	"hekui-bibnak-gruuli"
"christopher"	"freq100-christopher-9d0c52"	"fce-bant-dornuk-hekmogi"
"christy"	"freq100-christy-b3da30"	"gio-here-dakku"
"chronic"	"freq100-chronic-238a31"	"bbc-fcb-dakuk"
"chronicles"	"ap21-25-chronicles-e110d8"	"hekmogi-bantuk-hrowkur"
"chronological"	"ap16-20-chronological-f23cff"	"hrowgauk-crossbow-krubi-gakh"
"chthonic"	"ap16-20-chthonic-cbc195"	"grotash-grum-gog"
"chubby"	"freq100-chubby-ca20fb"	"grot-brak-krag"
"chuck"	"freq100-chuck-632db6"	"dcbi-bruku"
"chuckle"	"ap3-khukle-76f"	"draku-in-kaag"
"chuckles"	"ap2-khukle-76fi"	"hrowka-dcf-grodhi"
"chuckling"	"freq100-chuckling-5fa95a"	"darguk-gord-draviki"
"chucky"	"freq100-chucky-f76660"	"hrowkin-drath-drow"
"chug"	"freq100-chug-66fd5a"	"dedi-karnu"
"chum"	"freq100-chum-f19f1e"	"hrowgai-gashuri"
"chump"	"freq100-chump-163566"	"ash-cbd"
"chung"	"freq100-chung-d54170"	"gruuluk-dakku"
"chunk"	"shad-khunk-6c8"	"dff-faf"
"chunks"	"ap31-36-chunks-903998"	"elfi-chesire-gord"
"churches"	"freq100-churches-83db78"	"drukh-hrog-falstauk"
"churchill"	"freq100-churchill-f1af8d"	"hrowgai-grak-gashur"
"churn"	"ap31-36-churn-88b207"	"dwarfi-grod"
"churning"	"ap16-20-churning-bdab93"	"goru-gorin-goblin"
"chute"	"ap21-25-chute-af751f"	"gashur-dugi"
"chute-link"	"ap3-khute-af7-ap3-link-b1b"	"ashur-gashu-brakur"
"ciao"	"freq100-ciao-b133a0"	"gentle-cab"
"cigar"	"freq100-cigar-0beca1"	"agh-ik"
"cigarette"	"freq100-cigarette-bdda87"	"goru-here-gakh"
"cigarettes"	"freq100-cigarettes-f286b5"	"hrowgauk-fa-gurmog"
"cigars"	"freq100-cigars-62b06d"	"dca-great-elf"
"cinches"	"ap16-20-cinches-cf50f9"	"grrtuk-dbe-koboldi"
"cincinnati"	"freq100-cincinnati-adab3e"	"gashin-gorin-dargur"
"cinderella"	"freq100-cinderella-772f16"	"drath-burdock-brakuk"
"cinema"	"freq100-cinema-b81584"	"gor-bib-flow"
"cinnamon"	"freq100-cinnamon-6011d7"	"dargur-barrow-hrowkuk"
"circa"	"prep100lt-circa-fe42c4"	"iku-dakuk"
"circle"	"ap16-20-circle-8a3917"	"dwimmer-chesire-brakur"
"circled"	"ap16-20-circled-f62e5b"	"hrowkash-brukur-dravin"
"circles"	"ap16-20-circles-816bb5"	"dravur-draviki-gurmog"
"circling"	"freq100-circling-b16795"	"gentle-drav-gog"
"circuit"	"ap16-20-circuit-4666a3"	"cbd-drath-grodhi"
"circuits"	"freq100-circuits-e58952"	"hekruhur-falstauk-dornuk"
"circulation"	"freq100-circulation-70f194"	"doki-in-goblini-flit"
"circumstance"	"ap21-25-circumstance-ac4556"	"gashi-dakuri-drav-flitin"
"circumstances"	"ap26-30-circumstances-e43af7"	"hekruhi-colossal-klap-gorin"
"circumvent"	"ap21-25-circumvent-b805c8"	"gor-ash-helix"
"circus"	"freq100-circus-acd8d6"	"gashi-hekur-hrowku"
"cistern’s"	"ap21-25-cisterns-58e112"	"dakuruk-hrowgauk-braki"
"cisterns"	"ap16-20-cisterns-501f56"	"daki-bitu-drav"
"cite"	"ap31-36-cite-be385d"	"goruk-cee"
"cities"	"freq100-cities-53f251"	"dakuk-issenda-dorn"
"citizen"	"freq100-citizen-6e5f61"	"dok-doki-drukh"
"citizens"	"freq100-citizens-6f76bc"	"dokash-dwarf-heki"
"city-state"	"ap21-25-city-state-6aee4d"	"depth-imla-dokash"
"civic"	"freq100-civic-bea359"	"goruk-giodon"
"civil"	"freq100-civil-1272dc"	"arcturus-drukh"
"civilian"	"freq100-civilian-748f55"	"dornuk-fletragi-drath"
"civilians"	"freq100-civilians-da3d97"	"hek-dak-gorash"
"civilisation"	"freq100-civilisation-bf487e"	"goth-dakururi-fletragi-dakuruk"
"civilization"	"ap3-kivilizash-6b1"	"devis-bib-exarchuk-dcf"
"civilized"	"freq100-civilized-d07561"	"grukh-dugi-drukh"
"clack"	"ap16-20-clack-239c36"	"bbc-gashin"
"clad"	"ap16-20-clad-c8959c"	"grodui-flow"
"claimed"	"ap26-30-claimed-d79d34"	"gurmog-gashu-dakuri"
"claiming"	"freq100-claiming-c66ba9"	"grodin-draviki-grotash"
"claims"	"ap16-20-claims-a61808"	"flow-bibnak-bibnaki"
"claire"	"freq100-claire-c4cf94"	"grodh-hekmog-goblini"
"clam"	"freq100-clam-09f20e"	"aelves-issenda"
"clamp"	"freq100-clamp-d5fde0"	"gruuluk-karnu"
"clamps"	"ap21-25-clamps-453657"	"caves-cbdi-dravash"
"clams"	"freq100-clams-e7634f"	"hekui-dornuk"
"clang"	"ap31-36-clang-ca8025"	"grot-ender"
"clang-hiss"	"ap31-36-clang-hiss-4053be"	"burdock-dcd-hekmog"
"clanging"	"ap16-20-clanging-21d39c"	"bantuk-hekruhi-goruk"
"clangs"	"ap16-20-clangs-0730a7"	"aelf-burz-groduk"
"clank"	"ap26-30-clank-f00d04"	"hrowga-bantash"
"clank-hiss"	"ap31-36-clank-hiss-cba75f"	"grotash-gor-dravur"
"clanking"	"ap16-20-clanking-15bc54"	"arhk-grow-draku"
"clanks"	"ap31-36-clanks-5e0e54"	"dargu-banti-draku"
"clap"	"freq100-clap-8cceaf"	"ebb-hekin"
"clapping"	"freq100-clapping-833be0"	"drukh-cromm-in"
"claps"	"ap21-25-claps-6c566a"	"dff-demand"
"clare"	"freq100-clare-7edbd4"	"dravku-hrog"
"clarence"	"freq100-clarence-a7a8a3"	"forge-gorash-grodhi"
"clarify"	"freq100-clarify-c010d5"	"grak-bantuk-hrowkin"
"clarity"	"ap3-klariti-261"	"bib-bibuk-braku"
"clark"	"freq100-clark-712df0"	"doku-bruku"
"clashes"	"ap31-36-clashes-1ed4bb"	"bantash-hekruhur-hekfai"
"clashing"	"ap21-25-clashing-3d77a2"	"brukin-dwarfi-grodh"
"classic"	"ap16-20-classic-b002a6"	"gashuri-arden-grodui"
"classical"	"freq100-classical-25d954"	"bdci-helix-draku"
"classics"	"freq100-classics-b77442"	"gog-dug-dcd"
"classified"	"freq100-classified-24626c"	"bdc-dorn-efekt"
"classmates"	"freq100-classmates-d9fce6"	"gurmoguk-karnt-kal"
"classroom"	"freq100-classroom-83d82a"	"drukh-hekur-cromm"
"classy"	"freq100-classy-e27b04"	"hekmoguk-ebb-bib"
"clatter"	"ap21-25-clatter-20962f"	"bantin-forge-dakkin"
"clatter-clatter"	"ap21-25-clatter-clatter-e8db32"	"hekuk-hrog-dakukash-exarchuk"
"clattering"	"ap16-20-clattering-0814ff"	"aelfuk-bdci-krubi"
"claus"	"freq100-claus-b5c862"	"goblin-gurmoguk"
"clause"	"freq100-clause-9d96e1"	"fce-forge-issenda"
"claustrophobic"	"ap31-36-claustrophobic-bfa819"	"goth-gorash-bruk-drath"
"clawed"	"ap16-20-clawed-94f9f0"	"exie-kangstuk-kelpie"
"clawing"	"ap21-25-clawing-7c31ce"	"draviki-burzi-hrowga"
"claws"	"ap16-20-claws-083f7d"	"aelfuk-daki"
"clay"	"ap3-klai-063"	"aeleuk-cbdi"
"clean"	"ap31-36-clean-3b0668"	"bruk-ashdak"
"cleaned"	"freq100-cleaned-c80f02"	"grodui-bantin-bdc"
"cleaner"	"ap16-20-cleaner-11336b"	"archon-cab-ecd"
"cleaners"	"freq100-cleaners-7dc9ac"	"dravin-hek-grrt"
"cleaning"	"ap21-25-cleaning-db709d"	"hekash-dravur-goth"
"cleanly"	"ap21-25-cleanly-e3c502"	"hekruh-gur-bdc"
"cleans"	"freq100-cleans-b0ecc6"	"gashuri-ik-hekuk"
"cleanse"	"ap31-36-cleanse-b89fc9"	"gor-gashuri-here"
"cleansed"	"ap31-36-cleansed-e85eac"	"hekuk-dokash-grrt"
"cleansing"	"ap21-25-cleansing-ceb905"	"grrt-grot-bibash"
"cleanup"	"freq100-cleanup-611496"	"dbe-bdci-gor"
"clearance"	"ap16-20-clearance-213f67"	"bantuk-daki-dwarfuk"
"cleared"	"ap16-20-cleared-55faf5"	"dakur-kar-khaluk"
"clearer"	"freq100-clearer-2caf12"	"bibuk-grak-braki"
"clears"	"ap16-20-clears-fd3015"	"ik-burz-braku"
"cleave"	"ap26-30-cleave-c301c5"	"grod-arcturus-hekui"
"cleaved"	"ap16-20-cleaved-410eac"	"burz-banti-grrt"
"cleaves"	"ap21-25-cleaves-9eb005"	"fentrest-great-bibash"
"cleaving"	"ap16-20-cleaving-484244"	"cec-dakuk-dedi"
"cleft"	"ap26-30-cleft-82ad52"	"drow-goruk"
"clem"	"freq100-clem-fb78c8"	"dravash-hek-hrowkin"
"cleopatra"	"freq100-cleopatra-73b5ea"	"dorn-grodin-karn"
"clerk"	"freq100-clerk-c40dc7"	"grodh-bantash"
"cleve"	"freq100-cleve-b6df03"	"goblini-hrowga"
"cleveland"	"freq100-cleveland-205556"	"bantin-dedi-drav"
"clever"	"ap21-25-clever-0e895c"	"aproakh-falstauk-dravku"
"click"	"ap16-20-click-e5c7ff"	"hekruhur-gurmogi"
"click-clack"	"ap21-25-click-clack-a59fbd"	"flitu-gashuri-hekin"
"clicking"	"ap21-25-clicking-4a2b45"	"chesire-brukash-demand"
"clicks"	"ap16-20-clicks-72b40f"	"dokur-grodhi-brak"
"client"	"freq100-client-948fe6"	"exie-fletragi-kal"
"clients"	"freq100-clients-8f4d90"	"elf-dargu-ghash"
"cliffs"	"ap26-30-cliffs-be8094"	"goruk-ender-goblini"
"clifftop"	"ti-dak-zol-nak-ti-0c5"	"drath-fentrest-brakkin"
"climate"	"freq100-climate-10db69"	"arandian-hrog-eastdale"
"climbed"	"ap31-36-climbed-fd4065"	"ik-dakkin-dwarf"
"climbing"	"shad-klimb-d73-in"	"hekin-efekt-grodu"
"cling"	"freq100-cling-4151dc"	"burz-dca"
"clinging"	"ap16-20-clinging-0f217f"	"arandia-brakari-flind"
"clings"	"ap31-36-clings-151050"	"arhk-bantuk-dokur"
"clinic"	"freq100-clinic-bbfeb7"	"gori-keep-gurmoguk"
"clinical"	"ap16-20-clinical-98569e"	"faf-demand-grak"
"clink"	"ap16-20-clink-920e1f"	"evazhun-banti"
"clinking"	"ap16-20-clinking-db9d88"	"hekash-gashu-gash"
"clint"	"freq100-clint-0a2e07"	"agarici-brukur"
"clip"	"freq100-clip-67905a"	"demand-flind"
"clipped"	"freq100-clipped-e5650d"	"hekruhur-draku-bitin"
"clips"	"ap21-25-clips-431f2c"	"burzuk-bitu"
"clive"	"freq100-clive-e5d3b0"	"hekruhur-hekruhi"
"clock"	"ap16-20-clock-d8198e"	"gurmogi-bibnaki"
"clocks"	"freq100-clocks-afe259"	"gashur-hrowk-dravik"
"clockwise"	"ap16-20-clockwise-469baa"	"cbd-gashi-grotin"
"clockwork"	"ap16-20-clockwork-faea16"	"hrowkur-hrowkuri-brakuk"
"clog"	"ap31-36-clog-8027d5"	"dravu-brakuk"
"clogs"	"ap31-36-clogs-7bc0c0"	"dravik-grukhur"
"clone"	"freq100-clone-b5d61d"	"goblin-hekui"
"close"	"ap2-klose-310"	"brak-bantin"
"closed"	"ap26-30-closed-c3eefb"	"grod-imla-krag"
"closely"	"ap2-klose-310-uk"	"dedi-dbe-demand"
"closer"	"nak-ti-d99"	"goruk-gakh-hekuk"
"closes"	"ap5-close-566i"	"ghash-exodore-bibnakin"
"closest"	"ap3-klosest-2b3"	"bibnakin-burzuk-fa"
"closet"	"freq100-closet-784304"	"drav-dakukash-bib"
"closeted"	"ap16-20-closeted-835684"	"drukh-demand-flow"
"closets"	"freq100-closets-1f61a6"	"banti-dokur-grodui"
"closing"	"ap4-klo-565i-in"	"dokash-gashash-depth"
"closure"	"freq100-closure-6d4cb9"	"disaster-dargin-hekash"
"cloth"	"ap2-kloth-d6e"	"gur-hrowk"
"clothes"	"freq100-clothes-5c5f9b"	"dargi-doki-goru"
"clothing"	"freq100-clothing-12d264"	"arcturus-hekruh-dugi"
"cloud"	"ap4-kloud-566"	"deornoth-barrow-agh"
"clouded"	"ap26-30-clouded-a8cdd2"	"gabh-heki-hrowka"
"clouding"	"ap26-30-clouding-c384d9"	"grod-exieuk-hrowkuri"
"clouds"	"freq100-clouds-15fa97"	"arhk-kar-gorash"
"cloudy"	"freq100-cloudy-5e9562"	"dargu-flow-drukhi"
"cloven"	"ap31-36-cloven-00ee7a"	"aae-imla-fcd"
"clown"	"freq100-clown-fd8cc7"	"ik-fce"
"clowns"	"freq100-clowns-44b123"	"cab-grimuk-caves"
"clubs"	"freq100-clubs-4856d3"	"cec-demand"
"clumsy"	"ap21-25-clumsy-637308"	"dcbi-drukhi-bibnaki"
"clunk"	"ap31-36-clunk-9d5073"	"fce-dbe"
"cluster"	"ap16-20-cluster-164cf1"	"ash-dargin-khal"
"clustering"	"ap21-25-clustering-51f39e"	"dakkin-jorun-grak"
"clusters"	"ap4-kluster-164i"	"here-elf-brukur"
"clutch"	"freq100-clutch-c278be"	"grimuk-dwarfuk-hekmog"
"clutches"	"ap21-25-clutches-0cc2d6"	"ak-gruul-hrowku"
"clutching"	"ap21-25-clutching-7fd07a"	"dravkui-hekmogi-fcd"
"co"	"freq100-co-c330ec"	"brak-iku-elfi"
"coach"	"freq100-coach-e0f167"	"hekmog-in"
"coaching"	"freq100-coaching-3e0f9f"	"bruku-bantin-great"
"coals"	"ap16-20-coals-b3de82"	"hekin-exie-bantash"
"coast"	"freq100-coast-23c075"	"bbc-grukhur"
"coaster"	"freq100-coaster-f3f76a"	"hrowk-kal-ebb"
"coat"	"freq100-coat-8218f3"	"drow-bibnak"
"coated"	"ap4-koat-821-ash"	"heku-grodin-khali"
"coating"	"ap21-25-coating-51446d"	"dakkin-dakur-elf"
"coats"	"ap16-20-coats-1c8d41"	"bae-fentrest"
"cobb"	"freq100-cobb-c0bcb8"	"grak-grow"
"cobbler"	"freq100-cobbler-3c6707"	"brukash-drav-bibnak"
"cobblestones"	"ap3-koblestone-c28i"	"forge-ender-flitin-hekruhi"
"cobra"	"freq100-cobra-da8575"	"hek-exodore"
"coca"	"freq100-coca-6116c9"	"dbe-bibash"
"cocaine"	"freq100-cocaine-39c7ad"	"brakur-gurmogi-grrtuk"
"cock"	"freq100-cock-796e43"	"dravash-dravkui"
"cocked"	"ap26-30-cocked-64617c"	"dcd-dokur-fentrest"
"cockpit"	"freq100-cockpit-1f4f49"	"banti-dargur-devis"
"cockroach"	"freq100-cockroach-16fd3c"	"ash-karnu-dargu"
"cockroaches"	"freq100-cockroaches-913cf3"	"ender-crossbow-khali-hrowkuri"
"cocksucker"	"freq100-cocksucker-7c4a5c"	"draviki-dargash-dravku"
"cocktail"	"freq100-cocktail-3db051"	"brukin-great-dorn"
"cocktails"	"freq100-cocktails-72f611"	"dokur-kaat-brakash"
"cocky"	"freq100-cocky-390cde"	"brakur-bant"
"coco"	"freq100-coco-4f682b"	"dakash-dravash"
"cocoa"	"freq100-cocoa-740d94"	"dornuk-bantash"
"coconut"	"freq100-coconut-23ebce"	"bbc-hush-hrowga"
"cod"	"freq100-cod-4ed60a"	"dak-hekui"
"code"	"ap26-30-code-5694d0"	"dakuri-flitu"
"codes"	"freq100-codes-64a799"	"dcd-gor"
"coffee"	"freq100-coffee-37290d"	"braku-brand-bitin"
"coffin"	"freq100-coffin-e22665"	"hekmoguk-braku-dwarf"
"cognac"	"freq100-cognac-7aafc7"	"dravi-grak-hekur"
"cogs"	"ap26-30-cogs-073811"	"aelf-cee"
"cogwheel"	"ap16-20-cogwheel-fcd9f0"	"hush-helix-kelpie"
"cohen"	"freq100-cohen-ce4e14"	"grrt-darguk"
"coiling"	"ap21-25-coiling-bb55db"	"gori-dedi-ik"
"coinage"	"drav-biti-508"	"faf-brakash-caves"
"coincidence"	"shad-koinkidenk-783"	"drav-cbdi-fcb-brakkin"
"coke"	"freq100-coke-8e9c54"	"efekt-gashin"
"col"	"freq100-col-57cda5"	"dakuru-heki"
"cola"	"freq100-cola-42be22"	"burzi-grrtuk"
"cold-blooded"	"ap16-20-cold-blooded-5282bb"	"dakku-exarchuk-hekfai-doku"
"cole"	"freq100-cole-f78b6c"	"hrowkin-fcd"
"colin"	"freq100-colin-4c1001"	"cromm-bantuk"
"collapse"	"ap31-36-collapse-93bc5d"	"exarchuk-grow-dravkui"
"collapsed"	"ap21-25-collapsed-821f98"	"drow-bitu-gord"
"collapses"	"ap16-20-collapses-285aa1"	"bibi-devis-grod"
"collapsing"	"ap21-25-collapsing-7c7864"	"draviki-dwarfuk-dugi"
"collar"	"ap21-25-collar-8a4685"	"dwimmer-dakuru-forge"
"collarbone"	"ap21-25-collarbone-48f5f4"	"cec-kaag-khalin"
"collateral"	"freq100-collateral-55196b"	"dakur-bibnaki-ecd"
"colleague"	"freq100-colleague-7fdbbe"	"dravkui-hrog-hekmog"
"colleagues"	"freq100-colleagues-cf18a4"	"grrtuk-bibnak-grodin"
"collect"	"ap3-kolekt-818"	"dravur-exarchuk-dok"
"collected"	"freq100-collected-8ff79c"	"elf-kal-goruk"
"collecting"	"freq100-collecting-480af7"	"cec-ata-klap"
"collection"	"ap16-20-collection-fa7496"	"hrowkur-dug-gor"
"collective"	"shad-kolektive-d86"	"gurmogi-drav-hekui"
"collector"	"ap26-30-collector-0736fd"	"aelf-cbdi-krom"
"college"	"freq100-college-776af9"	"drath-dravik-koboldi"
"colleges"	"freq100-colleges-dda041"	"hekfai-gentle-dcbi"
"collier"	"freq100-collier-0fd4b8"	"arandia-hekruhur-hek"
"collins"	"freq100-collins-577174"	"dakuru-drow-exodore"
"collision"	"freq100-collision-9550e7"	"exieuk-dbe-kangsin"
"collusion"	"shad-koluzhun-7b8"	"dravik-falstauk-brakin"
"cologne"	"freq100-cologne-cbce68"	"grotash-hekin-dwimmer"
"colombia"	"freq100-colombia-c91bd9"	"groduk-bibuk-hrowkuri"
"colon"	"freq100-colon-70bdae"	"doki-grrt"
"colonel"	"freq100-colonel-ce23b7"	"grrt-braki-gurmoguk"
"colonial"	"freq100-colonial-16b8bf"	"ash-groduk-hekmogi"
"colony"	"freq100-colony-f7786e"	"hrowkin-dwarfuk-elfi"
"color"	"ap16-20-color-74284d"	"bibnak-darguk-ashuk"
"colorado"	"freq100-colorado-b82e72"	"gor-brukur-exie"
"colored"	"freq100-colored-ca8c52"	"grot-fce-dornuk"
"colorful"	"freq100-colorful-22040c"	"barrow-arhk-biti"
"colors"	"ap4-kolor-742i"	"darguk-dakkin-grrtuk"
"colour"	"freq100-colour-d6838c"	"gur-exie-gashu"
"colours"	"freq100-colours-9a1ee2"	"falstauk-bitin-jorun"
"colt"	"freq100-colt-5b6a4e"	"dargash-dravik"
"columbia"	"freq100-columbia-1e103f"	"bantash-bantuk-dbe"
"columbo"	"freq100-columbo-3095f6"	"bitu-flow-khang"
"columbus"	"freq100-columbus-698564"	"deornoth-exodore-dugi"
"columns"	"freq100-columns-0e624a"	"aproakh-dorn-dff"
"com"	"freq100-com-71b4f3"	"doku-grodhi"
"coma"	"freq100-coma-b477cc"	"giodon-dwarfi"
"comb"	"freq100-comb-ef4e3f"	"hroguk-darguk"
"combat-ready"	"ap16-20-combat-ready-48a57e"	"cec-goblini-fletragi-hrogar"
"combatant"	"ap26-30-combatant-6926af"	"deornoth-braku-grukhur"
"combatants"	"ap26-30-combatants-3056ab"	"bitu-demand-grow"
"combination"	"shad-kombinashu-5f3"	"darguk-burzuk-dravi-krag"
"combine"	"ap31-36-combine-6bd145"	"devis-hekmoguk-demand"
